sample_id,details,primer_set,community,dilution
W_Amp_1,VarSkip_1_10^3,VarSkip,1,10^3
W_Amp_2,VarSkip_1_10^2,VarSkip,1,10^2
W_Amp_3,VarSkip_1_10^1,VarSkip,1,10^1
W_Amp_4,VarSkip_2_10^3,VarSkip,2,10^3
W_Amp_5,VarSkip_2_10^2,VarSkip,2,10^2
W_Amp_6,VarSkip_2_10^1,VarSkip,2,10^1
W_Amp_7,VarSkip_3_10^3,VarSkip,3,10^3
W_Amp_8,VarSkip_3_10^2,VarSkip,3,10^2
W_Amp_9,VarSkip_3_10^1,VarSkip,3,10^1
W_Amp_10,VarSkip_4_10^3,VarSkip,4,10^3
W_Amp_11,VarSkip_4_10^2,VarSkip,4,10^2
W_Amp_12,VarSkip_4_10^1,VarSkip,4,10^1
W_Amp_13,VarSkip_5_10^3,VarSkip,5,10^3
W_Amp_14,VarSkip_5_10^2,VarSkip,5,10^2
W_Amp_15,VarSkip_5_10^1,VarSkip,5,10^1
W_Amp_16,VarSkip_PCR-Grade_H2O,VarSkip,pcr_water,
W_Amp_17,VarSkip_Wastewater_background,VarSkip,wastewater,
W_Amp_18,VarSkip_C9_-_Twist,VarSkip,twist,
W_Amp_19,VarSkip_Heat_inactivated_SARS-CoV-2_in_PBS,VarSkip,heat_sars_pbs,
W_Amp_20,VarSkip_Heat_inactivated_SARS-CoV-2_in_wastewater,VarSkip,heat_sars_wastewater,
W_Amp_21,V4_1_10^3,V4,1,10^3
W_Amp_22,V4_1_10^2,V4,1,10^2
W_Amp_23,V4_1_10^1,V4,1,10^1
W_Amp_24,V4_2_10^3,V4,2,10^3
W_Amp_25,V4_2_10^2,V4,2,10^2
W_Amp_26,V4_2_10^1,V4,2,10^1
W_Amp_27,V4_3_10^3,V4,3,10^3
W_Amp_28,V4_3_10^2,V4,3,10^2
W_Amp_29,V4_3_10^1,V4,3,10^1
W_Amp_30,V4_4_10^3,V4,4,10^3
W_Amp_31,V4_4_10^2,V4,4,10^2
W_Amp_32,V4_4_10^1,V4,4,10^1
W_Amp_33,V4_5_10^3,V4,5,10^3
W_Amp_34,V4_5_10^2,V4,5,10^2
W_Amp_35,V4_5_10^1,V4,5,10^1
W_Amp_36,V4_PCR-Grade_H2O,V4,pcr_water,
W_Amp_37,V4_Wastewater_background,V4,wastewater,
W_Amp_38,V4_C9_-_Twist,V4,twist,
W_Amp_39,V4_Heat_inactivated_SARS-CoV-2_in_PBS,V4,heat_sars_pbs,
W_Amp_40,V4_Heat_inactivated_SARS-CoV-2_in_wastewater,V4,heat_sars_wastewater,
W_Amp_41,Midnight_1_10^3,Midnight,1,10^3
W_Amp_42,Midnight_1_10^2,Midnight,1,10^2
W_Amp_43,Midnight_1_10^1,Midnight,1,10^1
W_Amp_44,Midnight_2_10^3,Midnight,2,10^3
W_Amp_45,Midnight_2_10^2,Midnight,2,10^2
W_Amp_46,Midnight_2_10^1,Midnight,2,10^1
W_Amp_47,Midnight_3_10^3,Midnight,3,10^3
W_Amp_48,Midnight_3_10^2,Midnight,3,10^2
W_Amp_49,Midnight_3_10^1,Midnight,3,10^1
W_Amp_50,Midnight_4_10^3,Midnight,4,10^3
W_Amp_51,Midnight_4_10^2,Midnight,4,10^2
W_Amp_52,Midnight_4_10^1,Midnight,4,10^1
W_Amp_53,Midnight_5_10^3,Midnight,5,10^3
W_Amp_54,Midnight_5_10^2,Midnight,5,10^2
W_Amp_55,Midnight_5_10^1,Midnight,5,10^1
W_Amp_56,Midnight_PCR-Grade_H2O,Midnight,pcr_water,
W_Amp_57,Midnight_Wastewater_background,Midnight,wastewater,
W_Amp_58,Midnight_C9_-_Twist,Midnight,twist,
W_Amp_59,Midnight_Heat_inactivated_SARS-CoV-2_in_PBS,Midnight,heat_sars_pbs,
W_Amp_60,Midnight_Heat_inactivated_SARS-CoV-2_in_wastewater,Midnight,heat_sars_wastewater,
