target_id	length	eff_length	est_counts	tpm
hCoV-19/USA/WA-CDC-UW21121708871/2021|EPI_ISL_8163321|2021-12-17	29513	29514	9.16497	5342.32
hCoV-19/USA/TX-CDC-FG-203162/2021|EPI_ISL_8183263|2021-12-14	29795	29796	16.8653	9737.86
hCoV-19/USA/NJ-CDC-IBX485548062323/2021|EPI_ISL_8555762|2021-12-21	29818	29819	4.79552	2766.75
hCoV-19/USA/MN-MDH-6587/2021|EPI_ISL_2018467|2021-04-24	29746	29747	162.61	94044.1
hCoV-19/USA/MN-MDH-6597/2021|EPI_ISL_2018477|2021-04-26	29762	29763	157.194	90862.7
hCoV-19/USA/NY-P13A4/2021|EPI_ISL_5156866|2021-04-09	29818	29819	139.638	80563.4
hCoV-19/USA/MI-MDHHS-SC25096/2021|EPI_ISL_1367852|2021-03-09	29806	29807	22.3444	12896.7
hCoV-19/USA/WI-WSLH-213165/2021|EPI_ISL_1794060|2021-03-26	29764	29765	24.4202	14114.7
hCoV-19/USA/OR-TRACE-LINN-033021-466/2021|EPI_ISL_1866418|2021-03-30	29841	29842	20.752	11963.5
hCoV-19/USA/WA-UW-21042271709/2021|EPI_ISL_2031557|2021-04-22	29540	29541	19.2437	11207.1
hCoV-19/USA/CA-CDPH-3000006761/2021|EPI_ISL_2837403|2021-04-17	29850	29851	20.3615	11734.9
hCoV-19/USA/FL-Shands-VTM-53/2021|EPI_ISL_2989846|2021-01	29852	29853	5.33309e-06	0.00307339
hCoV-19/USA/CA-ALSR-5090/2020|EPI_ISL_730345|2020-09-28	29880	29881	5.80114e-06	0.00333999
hCoV-19/USA/CA-CHLA-PLM84336997/2020|EPI_ISL_753480|2020-11-30	29969	29970	19.126	10979
hCoV-19/USA/WA-UW-46966/2020|EPI_ISL_756213|2020-12-13	29895	29896	5.62059e-06	0.00323442
hCoV-19/USA/WY-WPHL-20172467/2020|EPI_ISL_770486|2020-12-30	29782	29783	7.13501e-06	0.00412148
hCoV-19/USA/FL-STP-Saliva-412-VAC/2021|EPI_ISL_2989606|2021-02	29817	29818	0.00688932	3.97489
hCoV-19/USA/CA-ALSR-5112/2020|EPI_ISL_730359|2020-12-04	29899	29900	5.57342e-06	0.00320684
hCoV-19/USA/CA-LACPHL-AF00003/2020|EPI_ISL_737238|2020-12-18	29846	29847	6.23251e-06	0.00359244
hCoV-19/USA/CA-CZB-14781/2020|EPI_ISL_738759|2020-11-10	29521	29522	8.05326e-06	0.00469302
hCoV-19/USA/UT-UPHL-2012501214/2020|EPI_ISL_747002|2020-11-25	29899	29900	4.99564e-08	2.8744e-05
hCoV-19/USA/NY-P13D5/2021|EPI_ISL_5156877|2021-04-09	29824	29825	10.5319	6075.12
hCoV-19/USA/MI-MDHHS-SC23727/2021|EPI_ISL_1158385|2021-01-26	29812	29813	10.8024	6233.62
hCoV-19/USA/AZ-ASU4262/2021|EPI_ISL_1743681|2021-04-07	29826	29827	103.255	59556.5
hCoV-19/USA/WI-GMF-B00437/2021|EPI_ISL_1745217|2021-04-15	29835	29836	10.2901	5933.43
hCoV-19/USA/DE-DHSS-B1084257/2021|EPI_ISL_2107605|2021-04-22	29787	29788	11.3886	6577.45
hCoV-19/USA/NY-WMC2021-15/2021|EPI_ISL_2400450|2021-04-10	29840	29841	10.182	5870.13
hCoV-19/USA/CA-Stanford-12_S42/2021|EPI_ISL_1379889|2021-03-01	29729	29730	6.75451e-06	0.00390864
hCoV-19/USA/TX-TCH-TCMC0421021/2021|EPI_ISL_1792927|2021-04-15	29875	29876	4.96088e-06	0.00285669
hCoV-19/USA/CA-CZB-30484/2021|EPI_ISL_1821470|2021-03-09	29855	29856	5.17465e-06	0.00298178
hCoV-19/USA/WA-UW-21041984889/2021|EPI_ISL_2002806|2021-04-19	29540	29541	1.00945e-05	0.00587878
hCoV-19/USA/CA-CDPH-3000006742/2021|EPI_ISL_2837392|2021-04-15	29850	29851	5.22954e-06	0.00301392
hCoV-19/USA/WA-UW-21042164481/2021|EPI_ISL_2031536|2021-04-21	29540	29541	55.0061	32034.1
hCoV-19/USA/MN-UMGC-4018/2021|EPI_ISL_2709235|2021-06-07	29781	29782	32.9689	19044.9
hCoV-19/USA/MD-MDH-2732/2021|EPI_ISL_2709802|2021-06-09	29823	29824	30.168	17402.3
hCoV-19/USA/FL-CDC-ASC210153974/2021|EPI_ISL_2877677|2021-06-24	29823	29824	30.168	17402.3
hCoV-19/USA/LA-BIE-LSUH001398/2021|EPI_ISL_3088939|2021-07-13	29769	29770	33.8167	19542.5
hCoV-19/USA/TX-HMH-MCoV-49453/2020|EPI_ISL_5384223|2020-07-12	29753	29754	4.82515	2789.92
hCoV-19/USA/CA-CZB-29195/2021|EPI_ISL_1701259|2021-03-05	29818	29819	6.61215e-06	0.00381484
hCoV-19/USA/LA-BIE-LSUH001328/2021|EPI_ISL_3090983|2021-07-16	29800	29801	11.0799	6396.32
hCoV-19/USA/TX-TCH-TCMC00652-0721/2021|EPI_ISL_3149057|2021-07-09	29356	29357	28.526	16716.9
hCoV-19/USA/CA-CDPH-3000129332/2021|EPI_ISL_4509710|2021-07-27	29875	29876	9.4572	5445.87
hCoV-19/USA/NY-P12C1/2021|EPI_ISL_5156854|2021-04-07	29825	29826	103.473	59684.4
hCoV-19/USA/NY-PRL-2021_03_02_00F22/2021|EPI_ISL_1172845|2021-02-28	29742	29743	12.5267	7245.67
hCoV-19/USA/TX-TCH-TCMC00443-0421/2021|EPI_ISL_2135033|2021-04-28	29677	29678	14.3779	8334.65
hCoV-19/USA/CO-CDPHE-2100938243/2021|EPI_ISL_2309975|2021-04-27	29782	29783	11.5097	6648.5
hCoV-19/USA/GA-GPHL-0610/2021|EPI_ISL_3134240|2021-07-13	29836	29837	10.2684	5920.71
