target_id	length	eff_length	est_counts	tpm
hCoV-19/USA/WA-CDC-UW21121708871/2021|EPI_ISL_8163321|2021-12-17	29513	29514	13.4825	5681.73
hCoV-19/USA/TX-CDC-FG-203162/2021|EPI_ISL_8183263|2021-12-14	29795	29796	12.8153	5349.45
hCoV-19/USA/NJ-CDC-IBX485548062323/2021|EPI_ISL_8555762|2021-12-21	29818	29819	0.00329294	1.3735
hCoV-19/USA/MN-MDH-6587/2021|EPI_ISL_2018467|2021-04-24	29746	29747	29.0363	12140.5
hCoV-19/USA/MN-MDH-6597/2021|EPI_ISL_2018477|2021-04-26	29762	29763	18.7938	7853.73
hCoV-19/USA/NY-P13A4/2021|EPI_ISL_5156866|2021-04-09	29818	29819	4.10744	1713.23
hCoV-19/USA/MI-MDHHS-SC25096/2021|EPI_ISL_1367852|2021-03-09	29806	29807	28.8232	12027.1
hCoV-19/USA/WI-WSLH-213165/2021|EPI_ISL_1794060|2021-03-26	29764	29765	90.1898	37686.8
hCoV-19/USA/OR-TRACE-LINN-033021-466/2021|EPI_ISL_1866418|2021-03-30	29841	29842	11.1539	4648.77
hCoV-19/USA/WA-UW-21042271709/2021|EPI_ISL_2031557|2021-04-22	29540	29541	0.414461	174.5
hCoV-19/USA/CA-CDPH-3000006761/2021|EPI_ISL_2837403|2021-04-17	29850	29851	8.73942	3641.34
hCoV-19/USA/FL-Shands-VTM-53/2021|EPI_ISL_2989846|2021-01	29852	29853	0	0
hCoV-19/USA/CA-ALSR-5090/2020|EPI_ISL_730345|2020-09-28	29880	29881	0.73805	307.205
hCoV-19/USA/CA-CHLA-PLM84336997/2020|EPI_ISL_753480|2020-11-30	29969	29970	0.0665532	27.6198
hCoV-19/USA/WA-UW-46966/2020|EPI_ISL_756213|2020-12-13	29895	29896	0.491766	204.589
hCoV-19/USA/WY-WPHL-20172467/2020|EPI_ISL_770486|2020-12-30	29782	29783	10.5263	4395.87
hCoV-19/USA/FL-STP-Saliva-412-VAC/2021|EPI_ISL_2989606|2021-02	29817	29818	0	0
hCoV-19/USA/CA-ALSR-5112/2020|EPI_ISL_730359|2020-12-04	29899	29900	0.441319	183.578
hCoV-19/USA/CA-LACPHL-AF00003/2020|EPI_ISL_737238|2020-12-18	29846	29847	1.85391	772.55
hCoV-19/USA/CA-CZB-14781/2020|EPI_ISL_738759|2020-11-10	29521	29522	0	0
hCoV-19/USA/UT-UPHL-2012501214/2020|EPI_ISL_747002|2020-11-25	29899	29900	0	0
hCoV-19/USA/NY-P13D5/2021|EPI_ISL_5156877|2021-04-09	29824	29825	0.000180251	0.0751685
hCoV-19/USA/MI-MDHHS-SC23727/2021|EPI_ISL_1158385|2021-01-26	29812	29813	0.000249614	0.104136
hCoV-19/USA/AZ-ASU4262/2021|EPI_ISL_1743681|2021-04-07	29826	29827	479.116	199788
hCoV-19/USA/WI-GMF-B00437/2021|EPI_ISL_1745217|2021-04-15	29835	29836	0.000133758	0.0557593
hCoV-19/USA/DE-DHSS-B1084257/2021|EPI_ISL_2107605|2021-04-22	29787	29788	0.000492058	0.205453
hCoV-19/USA/NY-WMC2021-15/2021|EPI_ISL_2400450|2021-04-10	29840	29841	0.000116801	0.0486822
hCoV-19/USA/CA-Stanford-12_S42/2021|EPI_ISL_1379889|2021-03-01	29729	29730	0	0
hCoV-19/USA/TX-TCH-TCMC0421021/2021|EPI_ISL_1792927|2021-04-15	29875	29876	0	0
hCoV-19/USA/CA-CZB-30484/2021|EPI_ISL_1821470|2021-03-09	29855	29856	0	0
hCoV-19/USA/WA-UW-21041984889/2021|EPI_ISL_2002806|2021-04-19	29540	29541	0	0
hCoV-19/USA/CA-CDPH-3000006742/2021|EPI_ISL_2837392|2021-04-15	29850	29851	0	0
hCoV-19/USA/WA-UW-21042164481/2021|EPI_ISL_2031536|2021-04-21	29540	29541	153.012	64422.7
hCoV-19/USA/MN-UMGC-4018/2021|EPI_ISL_2709235|2021-06-07	29781	29782	0.213813	89.2933
hCoV-19/USA/MD-MDH-2732/2021|EPI_ISL_2709802|2021-06-09	29823	29824	0.0683756	28.515
hCoV-19/USA/FL-CDC-ASC210153974/2021|EPI_ISL_2877677|2021-06-24	29823	29824	0.0683756	28.515
hCoV-19/USA/LA-BIE-LSUH001398/2021|EPI_ISL_3088939|2021-07-13	29769	29770	0.29623	123.762
hCoV-19/USA/TX-HMH-MCoV-49453/2020|EPI_ISL_5384223|2020-07-12	29753	29754	1.19982	501.542
hCoV-19/USA/CA-CZB-29195/2021|EPI_ISL_1701259|2021-03-05	29818	29819	3.96138	1652.31
hCoV-19/USA/LA-BIE-LSUH001328/2021|EPI_ISL_3090983|2021-07-16	29800	29801	0.000345714	0.144286
hCoV-19/USA/TX-TCH-TCMC00652-0721/2021|EPI_ISL_3149057|2021-07-09	29356	29357	64.9712	27526.3
hCoV-19/USA/CA-CDPH-3000129332/2021|EPI_ISL_4509710|2021-07-27	29875	29876	4.52482e-05	0.0188372
hCoV-19/USA/NY-P12C1/2021|EPI_ISL_5156854|2021-04-07	29825	29826	492.289	205288
hCoV-19/USA/NY-PRL-2021_03_02_00F22/2021|EPI_ISL_1172845|2021-02-28	29742	29743	0.0016718	0.699097
hCoV-19/USA/TX-TCH-TCMC00443-0421/2021|EPI_ISL_2135033|2021-04-28	29677	29678	0.00981405	4.11293
hCoV-19/USA/CO-CDPHE-2100938243/2021|EPI_ISL_2309975|2021-04-27	29782	29783	0.000563631	0.235377
hCoV-19/USA/GA-GPHL-0610/2021|EPI_ISL_3134240|2021-07-13	29836	29837	0.00013018	0.0542659
hCoV-19/USA/MI-MDHHS-SC32153/2021|EPI_ISL_3637925|2021-08-09	29815	29816	0.0002301	0.0959853
